TITLE: Bill of Materials,,,,,,,,,,,,,,,,,,,
BOM NO: 05-059358-01-c.csv,,,,,,,,,,,,,,,,,,,
DATE: 08/04/2021,,,,,,,,,,,,,,,,,,,
DESIGN: 02_059358c_top,,,,,,,,,,,,,,,,,,,
TEMPLATE: Z:\allegro\v172_site\cdssetup\template.bom,,,,,,,,,,,,,,,,,,,
CALLOUT: C:\tmp\20_059358c\worklib\02_059358c_top\bom\bom.callouts,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
ITEM#,Qty,WW_PN,DESCRIPTION, VALUE,JEDEC_TYPE,TOL,VOLTAGE,WATTAGE,LOCATION,MFG, MFG_PN,HLM_STATUS,STOCKROOM_WL,STOCKROOM_GT,STOCKROOM_LK,STOCKROOM_GBO,STOCKROOM_NSH,CUSTOM_PART,DNI
27,1,E023176,CAP CER 0.47uF 16V 5% X7R 0603, 0.47uF,C0603,5,16V,N/A,C46,KEMET, C0603C474J4RACTU,REL,N/A,N/A,N/A,N/A,N/A,?,?
28,1,E029697,CAP CER 10uF 25V 10% X7S 0805, 10uF,C0805H53,10,25V,N/A,C45,MURATA, GRM21BC71E106KE11L,REL,N/A,N/A,N/A,N/A,N/A,?,?
30,1,E015600,CAP CER 3.3uF 10V 20% X5R 0402 LOW ESR, 3.3F,C0402,20,10V,N/A,C51,TDK,C1005X5R1A335M050BC,REL,N/A,N/A,N/A,N/A,N/A,?,?
31,1,E014229,CAP CER 1.5uF 25V 10% X5R 0603,1.5uF,C0603,10,25V,N/A,C52,TDK,C1608X5R1E155K080AB,REL,N/A,N/A,N/A,N/A,N/A,?,?
32,1,E030749,CAP CER 4.7uF 10V 10% X7S 0603 LOW ESR, 4.7uF,C0603,10,10V,N/A,C58,TDK, C1608X7S1A475K080AC,REL,N/A,N/A,N/A,N/A,N/A,?,?
32,1,E034109,CAP CER 22uF 10V 20% X7T 0805, 22uF,C0805H60,20,10V,N/A,C59,MURATA, GRM21BD71A226ME44L,REL,N/A,N/A,N/A,N/A,N/A,?,?
33,1,E033338,CAP CER 68pF 50V 5% C0G 0402 AEC-Q200, 68pF,C0402,5,50V,N/A,C7,MURATA, GCM1555C1H680JA16D,REL,N/A,N/A,N/A,N/A,N/A,?,?
34,2,E018253,LED SMD 0603 RED, TLMS1000GS08,LED0603,N/A,N/A,N/A,"DS1,DS3",VISHAY, TLMS1000-GS08,REL,N/A,N/A,N/A,N/A,7004239,?,?
35,1,E010948,DIODE HYPER BRIGHT LOW CURRENT LED (GREEN), LG L29K-G2J1-24-Z,LED0603-2,N/A,N/A,N/A,DS2,OSRAM OPTO SEMICONDUCTORS, LG L29K-G2J1-24-Z,REL,ADD_TO_STOCK,N/A,N/A,N/A,7003938,?,?
36,1,E031561,LED INGAN 470NM (BLUE), 598-8091-107F,LED0603,N/A,3.2V,N/A,DS4,DIALIGHT, 598-8091-107F,REL,N/A,N/A,N/A,N/A,N/A,?,?
37,3,E027309,"IND CHIP FERRITE BEAD, 0.3A 0.39OHM DCR", 1000OHM AT 100MEGHz,L0603,25,N/A,N/A,"E1,E2,E3",TAIYO YUDEN, BK1608TS102-T,REL,N/A,N/A,N/A,N/A,N/A,?,?
38,1,E016021,CONN-PCB SMA RA DIE CAST, 5-1814400-1,CNSMARAL559W248H419,N/A,N/A,N/A,J1,TE CONNECTIVITY LTD, 5-1814400-1,REL,N/A,N/A,N/A,N/A,6001651,?,?
40,1,E013941,CONN-PCB SMB JACK ST, 1-1337482-0,CNBNCSQ276H299,N/A,N/A,N/A,J4,TE CONNECTIVITY LTD, 1-1337482-0,REL,N/A,40313DG086,N/A,N/A,6001378,?,?
41,5,E021354,RES SPACER JMPR SOLDERPADS, TBD,R0603_2X,TBD,N/A,TBD,"JP1,JP2,JP3,JP4,JP5",TBD, TBD,NON-PREF,N/A,N/A,N/A,N/A,N/A,?,?
42,1,E018339,IND CHIP COIL, 33uH,L0806,10,N/A,N/A,L1,MURATA MANUFACTURING, LQH2MCN330K02L,REL,N/A,N/A,N/A,1474_CAB3,7005154,?,?
43,1,E033378,"IND POWER COIL, 0.3A, 0.58OHM DCR", 15UH,L1210H67,10,N/A,N/A,L2,MURATA, LQH32CN150K53L,REL,N/A,N/A,N/A,N/A,N/A,?,?
